ds,y
26-04-2016,81.94000244
27-04-2016,82.31999969
28-04-2016,80.12999725
29-04-2016,78.79000092
02-05-2016,77.61000061
03-05-2016,77.58000183
04-05-2016,78.05000305
05-05-2016,78.22000122
06-05-2016,76.94999695
09-05-2016,77.51000214
10-05-2016,78.54000092
11-05-2016,78.59999847
12-05-2016,78.25
13-05-2016,77.76000214
16-05-2016,78.62000275
17-05-2016,79.83000183
18-05-2016,78.80000305
19-05-2016,78.05000305
20-05-2016,78.93000031
23-05-2016,78.68000031
24-05-2016,79.56999969
25-05-2016,79.94999695
26-05-2016,79.83000183
27-05-2016,79.73000336
31-05-2016,80.09999847
01-06-2016,80.23000336
02-06-2016,80.98000336
03-06-2016,80.73000336
06-06-2016,79.63999939
07-06-2016,80.20999908
08-06-2016,80.55999756
09-06-2016,80.12000275
10-06-2016,78.16000366
13-06-2016,76.90000153
14-06-2016,74.62999725
15-06-2016,74.59999847
16-06-2016,73.93000031
17-06-2016,74.62999725
20-06-2016,76.26999664
21-06-2016,76.22000122
22-06-2016,76.81999969
23-06-2016,77.56999969
24-06-2016,72.52999878
27-06-2016,63.59999847
28-06-2016,62.56999969
29-06-2016,62.91999817
30-06-2016,64.34999847
01-07-2016,64.16000366
05-07-2016,62.49000168
06-07-2016,61.09000015
07-07-2016,62.38999939
08-07-2016,63.25
11-07-2016,64.73999786
12-07-2016,66.76000214
13-07-2016,66.44000244
14-07-2016,68.23999786
15-07-2016,68.19000244
18-07-2016,68.55000305
19-07-2016,68.38999939
20-07-2016,69.04000092
21-07-2016,71.11000061
22-07-2016,71.15000153
25-07-2016,71.18000031
26-07-2016,70.80000305
27-07-2016,69.87999725
28-07-2016,69.83000183
29-07-2016,70.31999969
01-08-2016,69.52999878
02-08-2016,68.18000031
03-08-2016,68.22000122
04-08-2016,68.44000244
05-08-2016,70.36000061
08-08-2016,70.16999817
09-08-2016,69.73000336
10-08-2016,69.88999939
11-08-2016,70.38999939
12-08-2016,69.83999634
15-08-2016,70.76999664
16-08-2016,70.66999817
17-08-2016,70.23000336
18-08-2016,70.90000153
19-08-2016,70.5
22-08-2016,70.45999908
23-08-2016,71.80999756
24-08-2016,71.55000305
25-08-2016,71.77999878
26-08-2016,72.77999878
29-08-2016,72.34999847
30-08-2016,71.59999847
31-08-2016,71.56999969
01-09-2016,72.22000122
02-09-2016,72.72000122
06-09-2016,72.48999786
07-09-2016,72.69999695
08-09-2016,72.75
09-09-2016,70.83000183
12-09-2016,70.38999939
13-09-2016,69.86000061
14-09-2016,68.91000366
15-09-2016,68.61000061
16-09-2016,68.26999664
19-09-2016,69.12999725
20-09-2016,68.95999908
21-09-2016,69.55000305
22-09-2016,70.30000305
23-09-2016,70.73000336
26-09-2016,69.61000061
27-09-2016,70.62000275
28-09-2016,71.62000275
29-09-2016,71.66000366
30-09-2016,72.52999878
03-10-2016,73.12999725
04-10-2016,74.30000305
05-10-2016,74.51999664
06-10-2016,74.41999817
07-10-2016,73.95999908
10-10-2016,74.38999939
11-10-2016,74.04000092
12-10-2016,72.76000214
13-10-2016,72.37000275
14-10-2016,72.80999756
17-10-2016,72.41999817
18-10-2016,72.40000153
19-10-2016,72.87000275
20-10-2016,73.01999664
21-10-2016,80
24-10-2016,82.13999939
25-10-2016,79.43000031
26-10-2016,79.20999908
27-10-2016,78.44999695
28-10-2016,77.56999969
31-10-2016,77.75
01-11-2016,77.41000366
02-11-2016,76.95999908
03-11-2016,77.08000183
04-11-2016,78.26999664
07-11-2016,79.81999969
08-11-2016,79.66999817
09-11-2016,80.37999725
10-11-2016,82.76000214
11-11-2016,83.63999939
14-11-2016,85.81999969
15-11-2016,85.43000031
16-11-2016,86.12000275
17-11-2016,86.87000275
18-11-2016,86.45999908
21-11-2016,86.44000244
22-11-2016,86.94999695
23-11-2016,87.95999908
25-11-2016,87.91000366
28-11-2016,87.44999695
29-11-2016,86.31999969
30-11-2016,86.37999725
01-12-2016,86.31999969
02-12-2016,86.15000153
05-12-2016,87.51999664
06-12-2016,88.43000031
07-12-2016,90.34999847
08-12-2016,92.93000031
09-12-2016,92.73000336
12-12-2016,92.44000244
13-12-2016,92.87999725
14-12-2016,92.31999969
15-12-2016,91.37999725
16-12-2016,91.58999634
19-12-2016,91.30000305
20-12-2016,91.54000092
21-12-2016,90.68000031
22-12-2016,90.76999664
23-12-2016,90.44000244
27-12-2016,91.19999695
28-12-2016,90.91999817
29-12-2016,89.84999847
30-12-2016,89.59999847
03-01-2017,91.12999725
04-01-2017,92.69000244
05-01-2017,91.83999634
06-01-2017,90.73000336
09-01-2017,90.77999878
10-01-2017,91.48999786
11-01-2017,91.76000214
12-01-2017,91.98000336
13-01-2017,93.41000366
17-01-2017,93.69999695
18-01-2017,95
19-01-2017,93.80999756
20-01-2017,93.70999908
23-01-2017,93.47000122
24-01-2017,94.66999817
25-01-2017,96.61000061
26-01-2017,95.75
27-01-2017,94.72000122
30-01-2017,94.83999634
31-01-2017,97.33999634
01-02-2017,98.01999664
02-02-2017,97.63999939
03-02-2017,98.98999786
06-02-2017,98.80000305
07-02-2017,98.69999695
08-02-2017,97.76999664
09-02-2017,97.83000183
10-02-2017,97.38999939
13-02-2017,97.61000061
14-02-2017,97.19999695
15-02-2017,97.48999786
16-02-2017,97.41000366
17-02-2017,97.34999847
21-02-2017,98.01000214
22-02-2017,98.18000031
23-02-2017,98.16999817
24-02-2017,97.48999786
27-02-2017,98.16000366
28-02-2017,98.27999878
01-03-2017,99.91999817
02-03-2017,98.88999939
03-03-2017,98.44999695
06-03-2017,98.55999756
07-03-2017,99.23000336
08-03-2017,100.3099976
09-03-2017,100.8099976
10-03-2017,101.5400009
13-03-2017,101.8700027
14-03-2017,102.1200027
15-03-2017,102.8000031
16-03-2017,103.4100037
17-03-2017,103.9000015
20-03-2017,103.8099976
21-03-2017,103.5100021
22-03-2017,101.3300018
23-03-2017,101.6299973
24-03-2017,101.2099991
27-03-2017,99.48000336
28-03-2017,100.5400009
29-03-2017,101.4599991
30-03-2017,102.9700012
31-03-2017,103.5899963
03-04-2017,103.6600037
04-04-2017,99.59999847
05-04-2017,101.3399963
06-04-2017,99.16000366
07-04-2017,98.41999817
10-04-2017,101.1699982
11-04-2017,100.1399994
12-04-2017,100.3099976
13-04-2017,100
17-04-2017,99.40000153
18-04-2017,100.4300003
19-04-2017,102.0599976
20-04-2017,103.4700012
21-04-2017,103.5
24-04-2017,106.9899979
25-04-2017,105.6900024
26-04-2017,104.7200012
27-04-2017,103.1299973
28-04-2017,103
01-05-2017,102.4400024
02-05-2017,104.0400009
03-05-2017,104.3799973
04-05-2017,104.25
05-05-2017,104.0199966
08-05-2017,103.8799973
09-05-2017,103.7200012
10-05-2017,104.5999985
11-05-2017,104.2399979
12-05-2017,102.8799973
15-05-2017,103.5599976
16-05-2017,103.8300018
17-05-2017,103.6500015
18-05-2017,102.4100037
19-05-2017,102.5699997
22-05-2017,104.1900024
23-05-2017,104.25
24-05-2017,103.5500031
25-05-2017,103.2099991
26-05-2017,102.6299973
30-05-2017,101.25
31-05-2017,101.9499969
01-06-2017,104.4599991
02-06-2017,105.25
05-06-2017,104.0400009
06-06-2017,102.6999969
07-06-2017,102.2200012
08-06-2017,104.7799988
09-06-2017,105.4300003
12-06-2017,105.7399979
13-06-2017,107.5400009
14-06-2017,106.7699966
15-06-2017,106.8000031
16-06-2017,107.6299973
19-06-2017,109.6999969
20-06-2017,109.4100037
21-06-2017,108.4599991
22-06-2017,107.6699982
23-06-2017,107.3499985
26-06-2017,108.2699966
27-06-2017,107.8199997
28-06-2017,108.9800034
29-06-2017,110.5299988
30-06-2017,112.0899963
03-07-2017,113.5100021
05-07-2017,113.9199982
06-07-2017,113.9700012
07-07-2017,115.3000031
10-07-2017,116.4300003
11-07-2017,116.0800018
12-07-2017,116.8000031
13-07-2017,116.2300034
14-07-2017,117.8099976
17-07-2017,117.7099991
18-07-2017,118.6100006
19-07-2017,119.1100006
20-07-2017,119.5899963
21-07-2017,119.4100037
24-07-2017,115.5500031
25-07-2017,109.4899979
26-07-2017,108.6900024
27-07-2017,105.7200012
28-07-2017,106.8899994
31-07-2017,107.3700027
01-08-2017,107.9899979
02-08-2017,107.1699982
03-08-2017,106.9800034
04-08-2017,108.4800034
07-08-2017,109.25
08-08-2017,108.6500015
09-08-2017,109.6100006
10-08-2017,108.5999985
11-08-2017,107.9700012
14-08-2017,109.3700027
15-08-2017,110.6699982
16-08-2017,109.5999985
17-08-2017,108.6900024
18-08-2017,107.3099976
21-08-2017,106.8700027
22-08-2017,108.6500015
23-08-2017,108.6999969
24-08-2017,108.6399994
25-08-2017,109.4700012
28-08-2017,109.9100037
29-08-2017,109.8499985
30-08-2017,110.7699966
31-08-2017,111.9700012
01-09-2017,113.3099976
05-09-2017,112.5999985
06-09-2017,112.0800018
07-09-2017,111.5199966
08-09-2017,112.6600037
11-09-2017,114.6900024
12-09-2017,115.5299988
13-09-2017,115.1399994
14-09-2017,114.4599991
15-09-2017,114.5800018
18-09-2017,115.7900009
19-09-2017,117.0299988
20-09-2017,117.1500015
21-09-2017,116.5500031
22-09-2017,116.5899963
25-09-2017,116.9199982
26-09-2017,117.8499985
27-09-2017,119.0999985
28-09-2017,120.0999985
29-09-2017,120.9000015
02-10-2017,120.0299988
03-10-2017,120.3199997
04-10-2017,121.9700012
05-10-2017,122.6100006
06-10-2017,122.3399963
09-10-2017,122.3700027
10-10-2017,123
11-10-2017,123.4400024
12-10-2017,122.4599991
13-10-2017,122.5400009
16-10-2017,122.9899979
17-10-2017,122.8199997
18-10-2017,122.9700012
19-10-2017,123.4100037
20-10-2017,124.2399979
23-10-2017,125.0800018
24-10-2017,124.7799988
25-10-2017,125.0199966
26-10-2017,125.3899994
27-10-2017,125.6600037
30-10-2017,125.3000031
31-10-2017,124.2300034
01-11-2017,124.0899963
02-11-2017,125.8399963
03-11-2017,126.0500031
06-11-2017,126.2600021
07-11-2017,126.4000015
08-11-2017,125.9599991
09-11-2017,125.8099976
10-11-2017,125.0899963
13-11-2017,127.0400009
14-11-2017,126.5299988
15-11-2017,125.8700027
16-11-2017,127.3099976
17-11-2017,126.9000015
20-11-2017,127.3199997
21-11-2017,128.4499969
22-11-2017,129.0599976
24-11-2017,128.6100006
27-11-2017,128.9600067
28-11-2017,130.5800018
29-11-2017,131.9900055
30-11-2017,130.1300049
01-12-2017,129.25
04-12-2017,129.2400055
05-12-2017,127.5800018
06-12-2017,126.5699997
07-12-2017,125.9400024
08-12-2017,128.1799927
11-12-2017,128.5
12-12-2017,128.1100006
13-12-2017,126.1299973
14-12-2017,124.4599991
15-12-2017,125.9700012
18-12-2017,127.5899963
19-12-2017,127.4400024
20-12-2017,127.75
21-12-2017,128.2100067
22-12-2017,127.9599991
26-12-2017,127.3000031
27-12-2017,126.8300018
28-12-2017,127.2200012
29-12-2017,127.4100037
02-01-2018,127.1600037
03-01-2018,127.75
